seller_id,Orders_Count,Average_Score,Review_Count
0x2D378DBB39815785238C0139C7647FB7,2,5.000000,2
0x333C4210E76A1AA2AB817B99437E3FF1,2,5.000000,2
0xDD39AD39B5D3DF33037E141C72497BA6,2,5.000000,2
0x26562F211DD1364AF2A8596DC945E8AE,2,5.000000,2
0xA20D8058C866DBAECA014D2CD20AC62E,2,5.000000,2
0x173D56FFBD4C56CB80FC3615487D712B,2,5.000000,2
0x64CC804291F90C81F02BFC2BB58FF55A,2,5.000000,2
0x1E26C56AF8D48424E1DF0140A2401F83,2,5.000000,2
0x4E480BE820E37DE1444325FF358C9296,2,5.000000,2
0x5733D806668F8712C24B9ABAEFBFA642,2,5.000000,2
0xAAE5953B9EDDDF14749C0D65D60EB4B9,2,5.000000,2
0x63272377184E969942F7FFF221BE858D,2,5.000000,2
0x734DEF04B237117A09321DD6D8F3F2A2,2,5.000000,2
0xC3251E13F1BBDA6C74E37C160F991E19,2,5.000000,2
0xFF314FA6033CC68EC451C47AEE2D6BA4,2,5.000000,2
0x59BBC819B99A733F02F0D6B49D1C253D,2,5.000000,2
0x11742F81550AC064CC9A40F67151D9AD,2,5.000000,2
0xE82DE6494D91D3C4C54450F59B227A94,3,5.000000,2
0xA3B0DF0065E264A91B7BBF5F844AF5CD,2,5.000000,2
0x9DD459B29A14BF89D47183CF2CD0E4C7,2,5.000000,2
0xA81466620E46A6970B22EF40379FDFC9,2,5.000000,2
0x392F7F2C797E4DC077E4311BDE2AB8CE,2,5.000000,2
0xBB5D956DECE964A06C12BCEB66B923AE,2,5.000000,2
0xDD58EE93286B0821565574C570E9E1DC,2,5.000000,2
0x3E35A8BB43569389D3CEBEF0CE820F69,2,5.000000,2
0x615C3462099FFA940D37B17DFDA19594,2,5.000000,2
0x9B1F656CA3060F8AF17A50D8A024B533,2,5.000000,2
0x4CC4FD4FDD406A85BBDC1F824B731BD7,2,5.000000,2
0xD3891911C2FEAE53C52FEA2BD14054E5,2,5.000000,2
0x5DE1C80811CE7007F62F00D971236C09,2,5.000000,2
0xE0A3C37054ADE6478D923A6EFC10F308,2,5.000000,2
0xE72B4FEB7ABE210C52AA667ABC25A3A2,2,5.000000,2
0x29C322E3F09F886F8BACBE91DFBD979E,2,5.000000,2
0x04843805947F0FC584FC1969B6E50FE7,2,5.000000,2
0xE94B64DC6979B302A5A5BE1662C83BB6,2,5.000000,2
0x8DD386BE0767C330276EA6A3F96532D3,2,5.000000,2
0xE560E4022D8F7AEBF155DB95946C5C0F,2,5.000000,2
0x72431A818F97FE6AB9C81EEE3E297E54,1,5.000000,1
0x57A834594E1E9E9219603BFEC184EADC,1,5.000000,1
0x2C9005D8043AFF18B8557FFB7B13CDA4,1,5.000000,1
0xD2572F31E9023E9850EF986A636FF9BF,1,5.000000,1
0x31E60BF8D103CE47932A85F5562DEB16,1,5.000000,1
0x4965A7002CCA77301C82D3F91B82E1A9,1,5.000000,1
0x87D73636A3ACF123E842BB890A4DB036,1,5.000000,1
0xD63F306DE130E0391D38A792541723B8,1,5.000000,1
0xBA8E85DF286308FE68A2CE83A8F8B2D6,1,5.000000,1
0xAA8AF66C623D7D544DFE4BB85B5EBE3B,1,5.000000,1
0xD85EFBC8EFF2B7ADF524E2820569ADC8,1,5.000000,1
0xCE3AD9DE960102D0677A81F5D0BB7B2D,1,5.000000,1
0x1927CDB9FA74F5270097F6250E8E8F34,1,5.000000,1
0xBBF4A892CAC7B82422BAA711DFFB8997,1,5.000000,1
0xEAAA46E98C9E61F6764DD1D7A2AB8B3E,1,5.000000,1
0x3296662B1331DEA51E744505065AE889,1,5.000000,1
0x9AC75591B69C3402684B6CE0310F22EE,1,5.000000,1
0x6EBF4ECEEE4DD9847201C82E77EF8123,1,5.000000,1
0x4E92348462C75B6C842B994CE84A0ED4,1,5.000000,1
0x3C88ED2E76A2247933A15DAA7161EB1C,1,5.000000,1
0x3442033154BE05BAC582E173EF54FD12,1,5.000000,1
0x5BBA18B40E8C973B0F32E748004775B0,1,5.000000,1
0x70C0FDA4C313D87115644D39E62EEC60,1,5.000000,1
0x0B1CA3EF18A63D7EB0C8897FA0849C08,1,5.000000,1
0xBAEDA7047354773262BA2405F97038BA,1,5.000000,1
0x4BE9AE93C4FC0F41713D71A4194EE1B3,1,5.000000,1
0x6B1C4D4D9CCF0BE3D8544EB0E71E5318,1,5.000000,1
0xDDE698C6D0BD24834C586E5111C2BBA7,1,5.000000,1
0x7DC9A3355BAE96DD82008B313D3A456C,1,5.000000,1
0xAD14615BDD492B01B0D97922E87CB87F,1,5.000000,1
0x5DB42A6CD9BF1BF0D3AAB9582767F168,1,5.000000,1
0x4A5B36211B1F51BF7EAA5C10A57FA483,1,5.000000,1
0xDD5450B022B2D00A2145A66331E1AEF6,1,5.000000,1
0xB19C48688808720822399FFA9F2DBE2F,1,5.000000,1
0xBD43E172D599BED47A85DA877172CA8C,1,5.000000,1
0x466222E777149751370E7E98FB623B0C,1,5.000000,1
0x6C77CD583B36A13AACCCF2B3EE23E233,1,5.000000,1
0xCB162C8EEF257253782D245C08D9097C,1,5.000000,1
0xDD264199FC8B687AD029DE7DE6D760E6,1,5.000000,1
0x2D8CFBA3FCD3170555941605EDAA196A,1,5.000000,1
0x05A48CC8859962767935AB9087417FBB,1,5.000000,1
0x668BF321538E5072858EAEF6087CE027,1,5.000000,1
0xEDB58A1390ADF273840030A3D6253829,1,5.000000,1
0x0F94588695D71662BEEC8D883FFACF09,1,5.000000,1
0xE59E575A175FADCADF8479E191770425,1,5.000000,1
0xF1FDF2D13186575751AA25876536D85C,1,5.000000,1
0x70C4EEDEC9CB4A85CDA2F3F9673557B4,2,5.000000,1
0xF3041C2E75EC683697A6A5EA82192210,1,5.000000,1
0xA56A8043EBF66E42119618FB8CF232C6,1,5.000000,1
0x43753B27D77860F1654AA72E251A7878,1,5.000000,1
0xAEC99834AB5D38EAD22766ADA8497E87,1,5.000000,1
0xEAE9AF4811C294C56795D70E715B7337,1,5.000000,1
0xCAD10CC982AB6A391570C211B995C17C,1,5.000000,1
0x2F1E7B90E01D9F086CBCB301C0C3D406,1,5.000000,1
0x4DAB98CA6CD6D3DF586203CEFD28A042,1,5.000000,1
0x740205FEDFE4E90CA6857BC77DB0F2B4,1,5.000000,1
0x64C9A1DB4E73E19AAAFD3286DC448C96,1,5.000000,1
0x1746C1AE87AC63D530C7C943D0AC42E2,1,5.000000,1
0x964FF64DC05B13811C6D0F41E0AA5F6B,1,5.000000,1
0x4ABA6A02A788D3EC81C03137144D9A80,1,5.000000,1
0xE5DEF42655B7490EDAC5A56FE8E9E603,1,5.000000,1
0xC0F3EEA2E14555B6FAEEA3DD58C1B1C3,1,5.000000,1
0xDDA37071807E404C5BB2A1590C66326F,1,5.000000,1
0xDB6A4D4B5F1F5F98820CE6CE2619E2DE,1,5.000000,1
0xBE7A093E5B4D147B36B72BB1F9E415E5,1,5.000000,1
0x4125D9385A25E82D2F72D3A0FD55BC3F,1,5.000000,1
0xD93B8458C6FE139D85CFA5EADBF55BD2,1,5.000000,1
0xDD9661D3CDA1E6FEB237F0C4D8B26F2E,1,5.000000,1
