customer_unique_id,Frequency
0x0CC2EE1112A11A1094EFF52FA2E87150,3
0xA9E070F61D35AA13E420C8597B5CCB3D,3
0x821E75291B1AD362E614C0EA79FC95A6,3
0x9C08D6F85C7FCEC4B08EAD25590C0AF7,3
0xFC719C11B4DCE594F47E1F9AA739A3A2,3
0x041CABA6A63ACE5818387698EA85CDB2,3
0xC4FE9FC8B5E1B4F9992DB983D0429854,3
0x2004BA7732339D9BE65F2236D8887AE4,3
0xFE59D5878CD80080EDBD29B5A0A4E1CF,3
0xCBD08B04B3F301152B7570DA5E9C8CC4,3
0xA029899DD8534557A81C369475FF80C8,3
0x7A311D62282FA63BE12B02AEF2FD21D1,3
0xDB03954A9A1CC5E71F6E0F73E81A628C,3
0xE325E139452A1CA05F5A33ACEDD7D94F,3
0x043AEE247E71EDFF7045664609F4D806,3
0x26A6E3E036636EF1D5636F98B66094CC,3
0xBC3E7032668D3F411C227EEC09221362,3
0x2B161EAF4956B131691842E87B3C39C7,3
0x4F4D2FE2987EFA0B9E4E61A466E8ED8B,3
0x6BB535B0906B43E0041916897667AEED,3
0x97BC08E526795B17E1D4F642F77AE304,3
0x0E4CB268BD62DA7DB135AF6349B4FC2A,3
0x46958F708ADE6B6A88B2E5ACA1E66DE5,3
0x90F323E9F0948DDD96C6F6A8ECC75830,3
0x9D31457A03125FC870787A251760315A,3
0x1FBD81E4D0A0CF9125CA038B43533B7F,3
0xDF946EF265626B1E0A425292815DDEAD,3
0xB495D807CCBD38EA1BE486A826C88008,3
0x3E5306ADD1209E5BA184092DD1587282,3
0x3DB6E5AFA8E8178A29AFC729855315E2,3
0x8F2FA110F45A5B5592F1593842B7E87D,3
0xF0FD988C7C2A4CBA167138A8ADADA6CA,3
0xD44CCEC15F5F86D14D6A2CFA67DA1975,3
0x3BAB949EF05DA8E9B3CFD541B6AF0FFD,3
0x8F6CE2295BDBEC03CD50E34B4BD7BA0A,3
0xE13E8B789E5A8E6FE1445F924A4ED4F6,3
0xE016365B624D1755F3E2D0E8F1631EBB,3
0x5B3186D7CF904F2F9369AEC26FABA4D2,3
0x51D91326FFC0688DA14A001DE38C264B,3
0xD4A5E9F19897DE65433C9D97BF4B9F8E,3
0x39104EDEF5E46D7B8C61848CC95E6D97,3
0xE78838DF9C44E102B6AC84CC5EEA7D5C,3
0xEF0103E9602D12594D19C2B666219BC1,3
0x4DCABE94C61F202327839A734955B0CF,3
0x7588C20C457369DE8CAAD958AFC1CC06,3
0x30B782A79466007756F170CB5BD6BBD8,3
0x1DA09DD64E235E7C2F29A4FAFF33535C,3
0xD02CBB85434C84ACABB8E81BBF064D3E,3
0xFF922BDD6BAFCDF99CB90D7F39CEA5B3,3
0xB9BADB100FF8ECC16A403111209E3A06,3
0xDB07FD2AD9869F8356B1FBEEFDAC31E8,3
0x7F50C43BAA66AAE590AA1A067427CCE5,3
0x732D307839B02BC2D3A4C26B515EA2B9,3
0x46450C74A0D8C5CA9395DA1DAAC6C120,3
0xD7624D219B6FFAD980E91412174DB310,3
0xDA2B78576894A7F95D45BFD20250CC54,3
0x07B1B60BCA2B6326FA2ADB259EA4A55F,3
0x08C07C761592A71B85136AA4FE76A6F4,3
0xFD8CCC89BE43894D2553494C71A61FD8,3
0x230A1E9F42924D41F37FD22A1D4A9707,3
0x1A281FE9F53EE457DACD2C9E8CCF861F,2
0xAE52FA61F27BD494A25BC4C101FA29D0,2
0x7A1751F98E25F665FC0130C7B001E18F,2
0x1D95A47C2206919E1DE2F8FF91065D20,2
0x32E93651FBC6D641CFFDC40C50D982A3,2
0x6AA2294D9975E319365A586BA919DE73,2
0x4C93744516667AD3B8F1FB645A3116A4,2
0x58075E17E770FC08571C3E0F452F6A11,2
0x967EE07CB69460A7E1D42C7747142572,2
0xCCAFC1C3F270410521C3C6F3B249870F,2
0xACC4424C209233DE519E034152F30304,2
0xD16F2966CDA34D01F661BFC50635EDB2,2
0x4A2EF0B951AA7BDDA04470D961D5E755,2
0xA124666E823BBD5FB77A72AFC8C1360C,2
0xF79C1EBA3EBD97C75683B3AC6E333DAA,2
0x031E19FC630C4121F1238716F41675C3,2
0x3FE3E628C6C7A15AE96416826A4C5952,2
0x87C907FA30DD1BD3709C84B912B50C7F,2
0x032B3A42598667CAF2E099999B9DC1B9,2
0x664FE7916CB8709C6B848383C6361DCC,2
0x4D1FE8B6F5E9EE044A14467C8B2832B6,2
0x0AADC1D26D1C8B88A52C39A533CCEA93,2
0x672452F682B6CD65D8256F3E527BB93F,2
0x60A22F2188CD2B544C45F103D0E00539,2
0x078F7E669CEBF2FB640D0AD0DABB3068,2
0xD821B0981BE9795C42FF1B2DECE149CB,2
0xBB8486CAD0E431659227F6FB18FC6A72,2
0x194F1BAB01E4E36F4255603E9A427B89,2
0xEE4A5DAB94B427525EA24BC30D4442FB,2
0x221AE88140600106A982ACB69A0ADD50,2
0x0751EBE1C05EF7A632934ADAE06C6D4A,2
0x76FFB5B3F1186C6C8022F6047AE9EAD5,2
0xC0FC2E3595C750DE75D36E7DB9399E83,2
0x9BC158770D28E135F48B0C3FB2C21D27,2
0x5FB5BF48CD408D971F873069E5178898,2
0x94CAC7A901FA7A145722DFD0A147B050,2
0x4C5200F7D135C94FCD304CDD0AF9837A,2
0xD393419796111DFAF317CA354F6C30E6,2
0xF1A325803DD4C341C5A946AC84C71973,2
0xDEC8632530CE2C58E688E63CBC5105E6,2
0x786165C8823A3FD635EDAB35DF391D27,2
0x704D4446BFFAD3F1D6B73A58426AF36A,2
0xC4536B58064F144D0538C9CC69C2765D,2
0x81865792A5DF52436B4E759B4BA21412,2
0x15EB6C5AA4AA23CBDB42E119220D23EC,2
0x013F4353D26BB05DC6652F1269458D8D,2
0x41B4AF321ED477242AEBE74652FD8219,2
0x71A92FD3087501BCFBA6E6E1EF7E8FD7,2
0xD87CD982D4B793ABE00C75C000C89237,2
